"","PermitNum","PermitClass","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"14","6668278-CN","Single Family/Duplex","Residential","Building","New","Establish use and construct one single family dwelling with attached garage, per plan.",0,0,1,503094,"2018-09-18","","","","Reviews In Process","8339 BEACON AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6668278-CN",47.5285174,-122.28840224,"8339 BEACON AVE S
SEATTLE, WA 98118
(47.5285174, -122.28840224)"
"17","6743689-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct detached accessory dwelling unit accessory to single family residence, per plans.",1,0,1,142671,"2019-10-02","","","","Reviews In Process","3856 41ST AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6743689-CN",47.56811591,-122.28155898,"3856 41ST AVE S
SEATTLE, WA 98118
(47.56811591, -122.28155898)"
"18","6728758-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct additions and substantial alterations to existing single family residence, per plans.",1,0,0,104147,"2019-09-12","","","","Reviews In Process","8025 RAVENNA AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6728758-CN",47.68695047,-122.30237612,"8025 RAVENNA AVE NE
SEATTLE, WA 98115
(47.68695047, -122.30237612)"
"19","6701163-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and substantial alterations for a single-family residence, per plan.",1,0,0,150000,"2019-04-17","","","","Reviews Completed","7718 19TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6701163-CN",47.68551006,-122.30755242,"7718 19TH AVE NE
SEATTLE, WA 98115
(47.68551006, -122.30755242)"
"20","6733038-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct 2nd story addition and substantial alterations to an existing single-family residence, per plans",1,0,0,180654,"2019-10-02","","","","Application Completed","3729 BAGLEY AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6733038-CN",47.65288871,-122.33296986,"3729 BAGLEY AVE N
SEATTLE, WA 98103
(47.65288871, -122.33296986)"
"24","6727677-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition to existing single family dwelling over attached garage for Accessory Dwelling Unit (ADU), per plan.",1,0,1,152279,"2019-08-27","","","","Reviews In Process","11357 35TH AVE NE","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6727677-CN",47.71180393,-122.29110413,"11357 35TH AVE NE
SEATTLE, WA 98125
(47.71180393, -122.29110413)"
"28","6751003-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","STFI- ECA EXEMPTION COMPLETED : Basement remodel including structural framing, seismic and electrical.",1,0,0,30000,"","","","","Additional Info Requested","3434 60TH AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6751003-CN",47.57288637,-122.40920142,"3434 60TH AVE SW
SEATTLE, WA 98116
(47.57288637, -122.40920142)"
"29","6735142-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Second floor addition to existing single family residence.",1,0,0,49000,"","","","","Withdrawn","1821 NE 52ND ST","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6735142-CN",47.66623428,-122.30753886,"1821 NE 52ND ST
SEATTLE, WA 98105
(47.66623428, -122.30753886)"
"31","6719453-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct outdoor addition to existing restaurant, occupy per plan.",0,0,0,11564,"2019-04-15","","","","Corrections Submitted","1254 S JACKSON ST","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6719453-CN",47.59938011,-122.31481881,"1254 S JACKSON ST
SEATTLE, WA 98144
(47.59938011, -122.31481881)"
"32","6736248-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing minor communication utility (T-Mobile) on the rooftop of existing structure, per plans.",0,0,0,20000,"2019-07-23","","","","Ready for Issuance","3016 NE BLAKELEY ST","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6736248-CN",47.66447578,-122.29498135,"3016 NE BLAKELEY ST
SEATTLE, WA 98105
(47.66447578, -122.29498135)"
"34","6536391-CN","Single Family/Duplex","Residential","Building","New","Construct new NORTH townhouse, per plan (Establish use as rowhouse and construct (2) townhouse buildings. Review and process for (2) A/P's under 6536391).",0,0,7,533618,"2018-03-07","","","","Ready for Issuance","5022 FAUNTLEROY WAY SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6536391-CN",47.55678234,-122.38120422,"5022 FAUNTLEROY WAY SW
SEATTLE, WA 98136
(47.55678234, -122.38120422)"
"36","6637682-CN","Multifamily","Residential","Building","New","Construct Live/Work building this permit (Establish use as and construct: 3 unit L/W Bldg. two-family dwelling, a single-family residence and a single family unit over common parking, occupy per plans. Reviews and processing for 4 Records under 6637682-CN)",0,0,4,1050000,"2018-06-19","","","","Reviews In Process","5258 CALIFORNIA AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6637682-CN",47.55408475,-122.38676332,"5258 CALIFORNIA AVE SW
SEATTLE, WA 98136
(47.55408475, -122.38676332)"
"37","6736364-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations and additions to minor telecommunications antenna facility (VERIZON) at the rooftop level of an existing commercial building, per plan.",0,0,0,12900,"2019-08-22","2019-10-02","2021-04-02","","Issued","3616 STONE WAY N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6736364-CN",47.65098009,-122.34228167,"3616 STONE WAY N
SEATTLE, WA 98103
(47.65098009, -122.34228167)"
"38","6719017-CN","Industrial","Non-Residential","Building","Addition/Alteration","Construct initial tenant improvements (community space) to existing City Light Denny Substation building at the SE corner, occupy per plan.",0,0,0,5e+05,"2019-06-04","","","","Corrections Required","1251 JOHN ST","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6719017-CN",47.61950007,-122.33142264,"1251 JOHN ST
SEATTLE, WA 98109
(47.61950007, -122.33142264)"
"39","6744879-CN","Single Family/Duplex","Residential","Building","New","Construct detached accessory dwelling unit (DADU), per plan.",1,0,1,153406,"2019-09-21","","","","Corrections Required","1500 M L KING JR WAY","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6744879-CN",47.61427344,-122.29590814,"1500 M L KING JR WAY
SEATTLE, WA 98122
(47.61427344, -122.29590814)"
"42","6699204-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements to 5th floor offices, per plan.",0,0,0,1e+05,"2019-03-12","2019-05-31","2020-11-30","2019-10-02","Completed","2033 6TH AVE","SEATTLE","WA",98121,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699204-CN",47.61482027,-122.33970734,"2033 6TH AVE
SEATTLE, WA 98121
(47.61482027, -122.33970734)"
"43","6698481-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct new residential dock to replace existing, per plan.",0,0,0,59614,"2019-08-22","","","","Reviews In Process","4128 55TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6698481-CN",47.65878405,-122.26928632,"4128 55TH AVE NE
SEATTLE, WA 98105
(47.65878405, -122.26928632)"
"45","6640282-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Addition and Substantial alterations to existing single family residence, per plan",1,0,0,2e+05,"2018-04-02","2018-10-29","2020-10-22","","Issued","3704 DENSMORE AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6640282-CN",47.65220311,-122.33714071,"3704 DENSMORE AVE N
SEATTLE, WA 98103
(47.65220311, -122.33714071)"
"46","6746414-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct seismic retrofit at basement and crawlspace of existing single family residence, per PROJECT IMPACT drawings",0,0,0,0,"2019-09-04","","","","Reviews In Process","4815 S OTHELLO ST","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6746414-CN",47.53673623,-122.2719562,"4815 S OTHELLO ST
SEATTLE, WA 98118
(47.53673623, -122.2719562)"
"47","6715115-CN","Multifamily","Residential","Building","Addition/Alteration","Construct tenant improvements to add unit at ground floor of existing apartment structure, occupy per plan.",22,0,0,40000,"2019-06-11","","","","Reviews In Process","1815 13TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6715115-CN",47.58653487,-122.3162829,"1815 13TH AVE S
SEATTLE, WA 98144
(47.58653487, -122.3162829)"
"48","6715636-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements for mercantile space (Sundance) in existing commercial building, per plan.",0,0,0,175000,"2019-03-22","2019-08-22","2021-02-22","","Issued","2643 NE UNIVERSITY VILLAGE ST","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6715636-CN",47.66265625,-122.29833522,"2643 NE UNIVERSITY VILLAGE ST
SEATTLE, WA 98105
(47.66265625, -122.29833522)"
"51","6748698-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations for earthquake home retrofit to basement of existing single family residence, per Project Impact drawings.",1,0,0,10000,"2019-09-17","","","","Reviews Completed","8609 ROOSEVELT WAY NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6748698-CN",47.69159186,-122.31784826,"8609 ROOSEVELT WAY NE
SEATTLE, WA 98115
(47.69159186, -122.31784826)"
"52","6729019-CN","Single Family/Duplex","Residential","Building","New","Construct new recreation building accessory to existing single family residence, per plan.",1,0,0,163855,"2019-09-13","","","","Corrections Required","1700 17TH AVE E","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6729019-CN",47.63564765,-122.30962773,"1700 17TH AVE E
SEATTLE, WA 98112
(47.63564765, -122.30962773)"
"55","6739895-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct retaining walls, and associated site work, to the south of existing single family residence, and remove detached accessory garage, per plan.",1,0,0,30000,"2019-08-02","2019-10-01","2021-04-01","","Issued","1639 N 55TH ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6739895-CN",47.66850274,-122.33663136,"1639 N 55TH ST
SEATTLE, WA 98103
(47.66850274, -122.33663136)"
"56","6734259-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Replace fence with grade beam and fence and associated site stabilization work, accessory to existing single family residence, per plan.",1,0,0,5000,"2019-08-21","2019-10-01","2021-04-01","","Issued","4400 28TH PL W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6734259-CN",47.6595793,-122.39364872,"4400 28TH PL W
SEATTLE, WA 98199
(47.6595793, -122.39364872)"
"61","6699677-CN","Multifamily","Residential","Building","New","Construct new live/work structure with surface parking, per plan.",0,0,5,1117091,"2019-01-09","","","","Corrections Required","7703 6TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699677-CN",47.68486238,-122.36351909,"7703 6TH AVE NW
SEATTLE, WA 98117
(47.68486238, -122.36351909)"
"62","6676273-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","New footings and replace posts only for existing exterior stacked deck for a single-family residence. per plan.",1,0,0,3029,"2018-08-31","","","","Corrections Required","2651 12TH AVE W","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6676273-CN",47.64460653,-122.37230858,"2651 12TH AVE W
SEATTLE, WA 98119
(47.64460653, -122.37230858)"
"63","6693542-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","118 SF addition to expand front entry. Revise existing interior stairs.  Add 226 SF new 3rd Floor room, within existin footprint.",1,0,0,75000,"","","","","Withdrawn","11026 EXETER AVE NE","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693542-CN",47.71018045,-122.27778967,"11026 EXETER AVE NE
SEATTLE, WA 98125
(47.71018045, -122.27778967)"
"64","6649017-CN","Multifamily","Residential","Building","New","Establish use as and construct a multifamily structure, occupy per plan.",0,0,22,1521842,"2019-08-26","","","","Reviews In Process","1439 NW 60TH ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6649017-CN",47.67214222,-122.3753123,"1439 NW 60TH ST
SEATTLE, WA 98107
(47.67214222, -122.3753123)"
"65","6718306-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to lobby and basement area of an existing commercial building, per plans.",0,0,0,1e+05,"2019-07-12","2019-10-01","2021-04-01","","Issued","615 2ND AVE","SEATTLE","WA",98104,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6718306-CN",47.60266151,-122.33333245,"615 2ND AVE
SEATTLE, WA 98104
(47.60266151, -122.33333245)"
"66","6731498-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements in hotel at existing restaurant on 5th floor, per plan. Mechanical is included.",0,0,0,4e+05,"2019-09-12","","","","Corrections Required","1415 5TH AVE","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6731498-CN",47.60996156,-122.33573595,"1415 5TH AVE
SEATTLE, WA 98101
(47.60996156, -122.33573595)"
"68","6746975-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct alterations and additions to single-family residence, per plan.",1,0,0,80000,"2019-09-27","","","","Reviews In Process","1509 7TH AVE W","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6746975-CN",47.63269675,-122.36679128,"1509 7TH AVE W
SEATTLE, WA 98119
(47.63269675, -122.36679128)"
"69","6690488-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Alterations to remove the existing porch roof located in the North side of existing single family residence and replace it with deck, per plan",0,0,0,6000,"2019-05-13","","","","Ready for Issuance","3944 S ANGELINE ST","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6690488-CN",47.55965482,-122.28149762,"3944 S ANGELINE ST
SEATTLE, WA 98118
(47.55965482, -122.28149762)"
"70","6713139-CN","Multifamily","Residential","Building","Change of Use Only - No Construction","Change of use from residential accessory manager's office to commercial office, with construction of alterations for the commercial office, in an existing multi-family building and occupy per plans.",17,0,0,10000,"2019-06-06","","","","Reviews In Process","6402 PHINNEY AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6713139-CN",47.6755306,-122.35404139,"6402 PHINNEY AVE N
SEATTLE, WA 98103
(47.6755306, -122.35404139)"
"71","6686291-CN","Multifamily","Residential","Building","New","Construct East Multifamily Residence with shared parking garage and occupy, per plan. (Construct East multifamily residence with shared parking garage and West Townhouse.  Review and processing for two records under 6686291-CN).",0,0,8,1009199,"2018-12-31","2019-10-01","2021-04-01","","Issued","7544 43RD AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6686291-CN",47.53394429,-122.27871701,"7544 43RD AVE S
SEATTLE, WA 98118
(47.53394429, -122.27871701)"
"72","6715335-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct retaining wall and grading accessory to single family residence, per plans.  Construction of decks to be under a separate permit.",1,0,0,18000,"2019-07-24","","","","Corrections Required","824 31ST AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6715335-CN",47.59494689,-122.29235766,"824 31ST AVE S
SEATTLE, WA 98144
(47.59494689, -122.29235766)"
"73","6608868-CN","Single Family/Duplex","Residential","Building","New","Establish use and construct single family residence per plan",0,0,1,425413,"2018-09-21","2019-10-01","2021-04-01","","Issued","4542 22ND AVE SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6608868-CN",47.56243386,-122.36148162,"4542 22ND AVE SW
SEATTLE, WA 98106
(47.56243386, -122.36148162)"
"74","6690426-CN","Commercial","Non-Residential","Building","Addition/Alteration","Tenant improvements to existing offices on 3rd, 4th & 5th floors of existing commercial building, per plan.",0,0,0,2e+06,"2018-12-13","2019-03-04","2020-09-04","2019-09-05","Completed","503 WESTLAKE AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6690426-CN",47.62338902,-122.33887135,"503 WESTLAKE AVE N
SEATTLE, WA 98109
(47.62338902, -122.33887135)"
"75","6685532-CN","Multifamily","Residential","Building","New","Construct West townhouse structure #1, per plan. (Establish use as row house and townhouse and construct 2 townhouse structures with surface parking. Review and process for 2 record numbers under 6685532-CN)",0,0,8,994853,"2018-11-26","","","","Reviews Completed","5240 BROOKLYN AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6685532-CN",47.66763586,-122.31394605,"5240 BROOKLYN AVE NE
SEATTLE, WA 98105
(47.66763586, -122.31394605)"
"77","6747444-CN","Single Family/Duplex","Residential","Building","Change of Use Only - No Construction","change use for our previously permitted basement remodel to an attached accessory dwelling unit",1,0,1,0,"","","","","Initiated","7548 28TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6747444-CN",47.68457848,-122.39274657,"7548 28TH AVE NW
SEATTLE, WA 98117
(47.68457848, -122.39274657)"
"79","6706209-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct substantial alterations to existing single family residence, per plans.",1,0,0,197746,"2019-07-02","","","","Reviews In Process","4411 38TH AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6706209-CN",47.56429845,-122.38043245,"4411 38TH AVE SW
SEATTLE, WA 98126
(47.56429845, -122.38043245)"
"80","6737167-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to existing stadium seating (Club Level sections 219-227), occupy per plan.",0,0,0,1353000,"2019-08-04","","","","Reviews Completed","1250 1ST AVE S","SEATTLE","WA",98134,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6737167-CN",47.59085645,-122.33355833,"1250 1ST AVE S
SEATTLE, WA 98134
(47.59085645, -122.33355833)"
"81","6721438-CN","Multifamily","Residential","Building","New","Construct west duplex, per plan (Establish use as townhouse and construct 3 new duplexes, per plan.  Review & process for 3 records under permit #6721438-CN).",0,0,6,314758,"2019-04-17","","","","Reviews In Process","4417 MERIDIAN AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721438-CN",47.66078487,-122.33407101,"4417 MERIDIAN AVE N
SEATTLE, WA 98103
(47.66078487, -122.33407101)"
"82","6729776-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Establish use and construct an accessory dwelling unit in basement of existing single family residence, per plans",1,0,0,1e+05,"2019-07-01","2019-10-01","2021-04-01","","Issued","3239 45TH AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6729776-CN",47.57453864,-122.38972731,"3239 45TH AVE SW
SEATTLE, WA 98116
(47.57453864, -122.38972731)"
"85","6726432-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements in existing commercial office building at the 5th floor (UW), per plan.",0,0,0,80000,"2019-08-13","","","","Reviews Completed","4545 ROOSEVELT WAY NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6726432-CN",47.66221069,-122.31780622,"4545 ROOSEVELT WAY NE
SEATTLE, WA 98105
(47.66221069, -122.31780622)"
"86","6721799-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations at lower level of existing office space, per plan.",0,0,0,25000,"2019-05-30","2019-07-31","2021-01-31","2019-10-01","Inspections Completed","301 EASTLAKE AVE E","SEATTLE","WA",98109,"SELLEN CONSTRUCTION CO INC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721799-CN",47.62098543,-122.32943161,"301 EASTLAKE AVE E
SEATTLE, WA 98109
(47.62098543, -122.32943161)"
"88","6436184-PH","Commercial","Non-Residential","Building","New","Phased project:  Construction of an office/residential tower and a hotel tower on a common podium structure with below grade parking and occupy, per plan.",0,0,208,270965923,"2016-12-21","2018-04-25","2021-04-25","","Issued","1301 5TH AVE","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6436184-PH",47.60896713,-122.33482136,"1301 5TH AVE
SEATTLE, WA 98101
(47.60896713, -122.33482136)"
"89","6504055-CN","Commercial","Non-Residential","Building","Addition/Alteration","Expand dining area to 2nd floor of an existing commercial building for Stonehouse Café, occupy per plan.",0,0,0,45000,"2017-06-29","","","","Corrections Required","9701 RAINIER AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6504055-CN",47.51644427,-122.25471011,"9701 RAINIER AVE S
SEATTLE, WA 98118
(47.51644427, -122.25471011)"
"95","6693987-CN","Single Family/Duplex","Residential","Building","New","Construct East single family residence #1, per plan. (Establish use as and construct 2 single-family residences with attached garages. Review and process for 2 record numbers under 6693987-CN)",0,0,2,256306,"2019-05-08","","","","Reviews In Process","1461 A 22ND AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693987-CN",47.61475661,-122.30385801,"1461 A 22ND AVE
SEATTLE, WA 98122
(47.61475661, -122.30385801)"
