"","OBJECTID","RIVER_ID","SEGMENT_ID","WSR_RIVER_NAME","WSR_RIVER_SHORTNAME","GNIS_NAME","CLASSIFICATION","SEGMENT_MILES","TOTAL_MILES","BEGINNING_POINT_NARRATIVE","ENDING_POINT_NARRATIVE","AGENCY","ORV_CULTURE","ORV_FISH","ORV_GEOLOGIC","ORV_HISTORIC","ORV_RECREATIONAL","ORV_SCENIC","ORV_WILDLIFE","STATE","ORV_OTHER","ORV_ID","ORV_LIST","SEGMENT_ACRES","ADMINISTRATIVE_UNIT","COUNTY","SHAPELEN"
"11",22,"107","107.2001","White Wild and Scenic River","White","White River","Recreational",2,22.1,"Headwaters","Section line between sections 9 and 16, T3S, R9E","USFS","No","Yes","Yes","No","Yes","Yes","No","Oregon","Botany, Hydrology","","Fish, Geologic, Recreation, Scenery, Botany, Hydrology",NA," MT HOOD NATIONAL FOREST","HOOD RIVER",0.0366977498366589
"12",23,"107","107.2002","White Wild and Scenic River","White","White River","Recreational",13.6,22.1,"Section line between sections 9 and 16, T3S, R9E","Deep Creek","USFS","No","Yes","Yes","Yes","Yes","Yes","Yes","Oregon","Botany, Hydrology","","Fish, Geologic, Historic, Recreation, Scenery, Wildlife, Botany, Hydrology",NA," MT HOOD NATIONAL FOREST","HOOD RIVER, WASCO",0.247973072549705
"13",1,"10","10.2011","Chattooga Wild and Scenic River","Chattooga","West Fork Chattooga River","Wild",3.3,58.7,"Portion of West Fork Chattooga and from 1.3 miles above Three Forks on Overflow Creek","0.1 mile above Overflow Creek","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN",0.0561259574202527
"14",2,"10","10.2012","Chattooga Wild and Scenic River","Chattooga","West Fork Chattooga River","Recreational",4,58.7,"0.1 mile above Overflow Creek","Confluence with Chattooga River","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN",0.0623918947505068
"15",3,"100","100.2001","Sandy Wild and Scenic River","Sandy","Sandy River","Wild",4.5,12.4,"Headwaters","Section line between sections 15 and 22, T2S, R8E","USFS","No","Yes","Yes","No","Yes","Yes","No","Oregon","Botany","","Fish, Geologic, Recreation, Scenery, Botany",NA," MT HOOD NATIONAL FOREST","CLACKAMAS",0.0817537240129724
"16",4,"100","100.2002","Sandy Wild and Scenic River","Sandy","Sandy River","Recreational",7.9,12.4,"Section line between sections 15 and 22, T2S, R8E","Mt. Hood National Forest Boundary at west section line of section 26, T2S, R7E","USFS","No","Yes","Yes","No","Yes","Yes","No","Oregon","Botany","","Fish, Geologic, Recreation, Scenery, Botany",NA," MT HOOD NATIONAL FOREST","CLACKAMAS",0.13726070536188
"17",5,"101","101.1001","South Fork John Day Wild and Scenic River","South Fork John Day","South Fork John Day River","Recreational",47,47,"Malheur National Forest boundary","Smoky Creek","BLM","No","Yes","No","No","Yes","Yes","Yes","Oregon","Botanical","","Fish, Recreation, Scenery, Wildlife, Botanical",NA,"","",0.792256470310943
"18",6,"102","102.2001","Whychus Creek Wild and Scenic River","Whychus Creek","Whychus Creek","Wild",6.6,15.4,"Source and its tributaries","Three Sisters Wilderness Boundary","USFS","Yes","Yes","Yes","No","No","Yes","No","Oregon","Hydrology, Traditional Cultural Use","","Cultural, Fish, Geologic, Scenery, Hydrology, Traditional Cultural Use",NA," DESCHUTES NATIONAL FOREST","DESCHUTES",0.851343164374922
"19",7,"102","102.2002","Whychus Creek Wild and Scenic River","Whychus Creek","Whychus Creek","Scenic",8.8,15.4,"Three Sisters Wilderness Boundary","Hydrologic gaging station 800 feet upstream from intake of the McCallister Ditch","USFS","No","No","No","No","No","No","No","Oregon","","","",NA," DESCHUTES NATIONAL FOREST","DESCHUTES",0.160587353651434
"20",8,"103","103.2001","Sycan Wild and Scenic River","Sycan","Sycan River","Scenic",26.4,59,"NE 1/4 section 5, T34S, R17E","West section line of section 22, T32S, R14E","USFS","No","Yes","Yes","No","No","Yes","No","Oregon","","","Fish, Geologic, Scenery",NA,"FREMONT WINEMA NATIONAL FORESTS","KLAMATH, LAKE",0.51180749384933
"21",9,"103","103.2002","Sycan Wild and Scenic River","Sycan","Sycan River","Recreational",8.6,59,"West section line of section 22, T32S, R14E","Fremont National Forest Boundary in SW 1/4 of section 10, T33S, R13E","USFS","No","Yes","No","No","No","No","Yes","Oregon","","","Fish, Wildlife",NA,"FREMONT WINEMA NATIONAL FORESTS","KLAMATH, LAKE",0.14329668013907
"22",10,"103","103.2003","Sycan Wild and Scenic River","Sycan","Sycan River","Scenic",24,59,"Fremont National Forest Boundary in SW 1/4 of section 10, T33S, R13E","Coyote Bucket at Fremont National Forest Boundary","USFS","No","Yes","No","No","No","Yes","No","Oregon","","","Fish, Scenery",NA,"FREMONT WINEMA NATIONAL FORESTS","KLAMATH",0.430646433635033
"23",11,"104","104.2001","Rogue Wild and Scenic River","Rogue","Upper Rogue River","Scenic",0.5,40.3,"Crater Lake National Park Boundary ","Approximately .1 mile downstream from Forest Road 6530760 (West Lake Road) crossing","USFS","Yes","No","Yes","Yes","No","Yes","No","Oregon","Botany, Hydrology, Water Quality","","Cultural, Geologic, Historic, Scenery, Botany, Hydrology, Water Quality",NA," ROGUE RIVER-SISKIYOU NATIONAL FOREST","DOUGLAS",0.00887026493198932
"24",30,"10","10.2008","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Wild",15,58.7,"Turnhole","Bull Sluice","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia & South Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN, GA, OCONEE, SC",0.259741183939147
"25",31,"10","10.2009","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Scenic",1,58.7,"Below Bull Sluice","Three quarters mile below US Highway 26","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia & South Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN, GA, OCONEE, SC",0.01757269052044
"26",32,"10","10.2010","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Wild",7.1,58.7,"Three quarters mile below US Highway 26","Tugaloo Reservoir","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia & South Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN, GA, OCONEE, SC",0.0857965058504859
"27",33,"108","108.1004","Rio Chama Wild and Scenic River","Rio Chama","Rio Chama","Wild",NA,NA,"","","BLM","","","","","","","","New Mexico","","","",NA,"","Rio Arriba",0.0899332600849294
"28",34,"108","108.2002","Rio Chama Wild and Scenic River","Rio Chama","Rio Chama","Wild",8.4,13.4,"BLM Wilderness Study Area Boundary","Forest Road 151","USFS","Yes","No","No","No","Yes","Yes","Yes","New Mexico","","","Cultural, Recreation, Scenery, Wildlife",NA," SANTA FE NATIONAL FOREST","RIO ARRIBA",0.0988656572908368
"29",44,"111","111.2002","Smith Wild and Scenic River","Smith","Rowdy Creek","Recreational",2.5,297.5,"Rowdy Creek - California-Oregon State line","Six Rivers National Forest Boundary","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0441624830778745
"30",45,"112","112.2001","Smith Wild and Scenic River","Smith","Middle Fork Smiths Fork","Wild",1.5,297.5,"Middle Fork - Headwaters of Middle Fork Smith River about 3 miles south of Sanger Lake","Center of section 7, T17N, R5E","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0217987348277143
"31",46,"112","112.2002","Smith Wild and Scenic River","Smith","Middle Fork Smith Fork","Scenic",0.8,297.5,"Middle Fork - Center of section 7, T17N, R5E","Center of section 6, T17N, R5E","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0288488154664366
"32",47,"112","112.2003","Smith Wild and Scenic River","Smith","Middle Fork Smith Fork","Wild",4.3,297.5,"Middle Fork - Center of section 6, T17N, R5E","One-half mile upstream from its confluence with Knopki Creek","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0838534775202975
"33",48,"1","1.2001","Middle Fork Clearwater Wild and Scenic River","Middle Fork Clearwater","Middle Fork Clearwater","Recreational",23,185,"Middle Fork Clearwater
Town of Lowell ID","Town of Kooskia ID (upper/east bridge)
Mileage based on Clearwater NF Forest Plan 1987 Pg III-24","USFS","No","Yes","No","Yes","Yes","Yes","Yes","Idaho","Botany, Traditional Cultural Use, Water Quality","","Fish, Historic, Recreation, Scenery, Wildlife, Botany, Traditional Cultural Use, Water Quality",NA," BITTERROOT NATIONAL FOREST, CLEARWATER NATIONAL FOREST, NEZ PERCE NATIONAL FOREST","IDAHO",0.422634905050481
"34",49,"1","1.2002","Middle Fork Clearwater Wild and Scenic River","Middle Fork Clearwater","Lochsa River","Recreational",70,185,"Lochsa
Powell Ranger Station","Confluence with Selway WSR at Lowell ID
Mileage based on Clearwater NF Forest Plan 1987 Pg III-24","USFS","No","Yes","No","Yes","Yes","Yes","Yes","Idaho","Botany, Traditional Cultural Use, Water Quality","","Fish, Historic, Recreation, Scenery, Wildlife, Botany, Traditional Cultural Use, Water Quality",NA," BITTERROOT NATIONAL FOREST, CLEARWATER NATIONAL FOREST, NEZ PERCE NATIONAL FOREST","IDAHO",1.23463581595518
"35",50,"1","1.2003","Middle Fork Clearwater Wild and Scenic River","Middle Fork Clearwater","Selway River","Wild",7,185,"Selway
Headwaters","Magruder Ranger Station
Mileage based on 54 mi (total wild miles) - 47 (segment 5) = 7","USFS","No","Yes","No","Yes","Yes","Yes","Yes","Idaho","Botany, Traditional Cultural Use, Water Quality","","Fish, Historic, Recreation, Scenery, Wildlife, Botany, Traditional Cultural Use, Water Quality",NA," BITTERROOT NATIONAL FOREST, CLEARWATER NATIONAL FOREST, NEZ PERCE NATIONAL FOREST","IDAHO",0.292714636382817
"36",35,"108","108.2003","Rio Chama Wild and Scenic River","Rio Chama","Rio Chama","Scenic",3,13.4,"Forest Road 151","Elevation 6,353 feet","USFS","Yes","No","Yes","No","Yes","Yes","Yes","New Mexico","","","Cultural, Geologic, Recreation, Scenery, Wildlife",NA," SANTA FE NATIONAL FOREST","RIO ARRIBA",0.0846897738735832
"37",36,"108","108.6001","Rio Chama Wild and Scenic River","Rio Chama","Rio Chama","Wild",2,13.4,"National Forest Boundary","BLM Wilderness Study Area Boundary","USFS","Yes","No","Yes","Yes","Yes","Yes","Yes","New Mexico","","","Cultural, Geologic, Historic, Recreation, Scenery, Wildlife",NA," SANTA FE NATIONAL FOREST","RIO ARRIBA",0.0642593401365576
"38",37,"109","109.2001","East Fork Jemez Wild and Scenic River","East Fork Jemez","East Fork Jemez River","Recreational",2,11,"Santa Fe National Forest Boundary ","Second crossing of State Highway 4, near Las Conchas Trailhead","USFS","No","Yes","Yes","No","Yes","Yes","Yes","New Mexico","","","Fish, Geologic, Recreation, Scenery, Wildlife",NA," SANTA FE NATIONAL FOREST","SANDOVAL",0.0300070795933934
"39",38,"109","109.2002","East Fork Jemez Wild and Scenic River","East Fork Jemez","East Fork Jemez River","Wild",4,11,"Second crossing of State Highway 4, near Las Conchas Trailhead","Third crossing of State Highway 4, approximately one and one-quarter mile upstream of Jemez Falls","USFS","No","Yes","Yes","No","Yes","Yes","Yes","New Mexico","","","Fish, Geologic, Recreation, Scenery, Wildlife",NA," SANTA FE NATIONAL FOREST","SANDOVAL",0.0805703887347482
"40",39,"109","109.2003","East Fork Jemez Wild and Scenic River","East Fork Jemez","East Fork Jemez River","Scenic",5,11,"Third crossing of State Highway 4, approximately one and one-quarter mile upstream of Jemez Falls","Confluence with Rio San Antonio","USFS","No","Yes","Yes","No","Yes","Yes","Yes","New Mexico","","","Fish, Geologic, Recreation, Scenery, Wildlife",NA," SANTA FE NATIONAL FOREST","SANDOVAL",0.0834331555457985
"41",40,"11","11.2001","Rapid Wild and Scenic River","Rapid","Rapid River","Wild",26.8,26.8,"Headwaters of mainstem and West Fork from Hells Canyon Wilderness Boundary to confluence with mainstem","Nez Perce National Forest Boundary","USFS","Yes","Yes","No","Yes","No","Yes","No","Idaho","Water Quality","","Cultural, Fish, Historic, Scenery, Water Quality",NA," NEZ PERCE NATIONAL FOREST, PAYETTE NATIONAL FOREST, WALLOWA WHITMAN NATIONAL FOREST","IDAHO, ADAMS",0.514756846688297
"42",41,"110","110.2001","Pecos Wild and Scenic River","Pecos","Pecos River","Wild",13.5,20.5,"Headwaters","Pecos Wilderness Boundary","USFS","Yes","No","No","Yes","Yes","Yes","No","New Mexico","","","Cultural, Historic, Recreation, Scenery",NA," SANTA FE NATIONAL FOREST","MORA, SAN MIGUEL",0.224027625734542
"43",42,"110","110.2002","Pecos Wild and Scenic River","Pecos","Pecos River","Recreational",7,20.5,"Pecos Wilderness Boundary","Townsite of Terrero","USFS","No","No","No","No","No","No","No","New Mexico","","","",NA," SANTA FE NATIONAL FOREST","SAN MIGUEL",0.112527253311519
"44",43,"111","111.1001","Smith Wild and Scenic River","Smith","Smith River","Recreational",NA,NA,"Smith River from confluence of Middle and South Forks ","Six Rivers National Forest Boundary","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.033752193481517
"45",24,"107","107.2003","White Wild and Scenic River","White","White River","Scenic",6.5,22.1,"Deep Creek","Mt. Hood National Forest Boundary","USFS","No","Yes","Yes","Yes","Yes","Yes","Yes","Oregon","Botany, Hydrology","","Fish, Geologic, Historic, Recreation, Scenery, Wildlife, Botany, Hydrology",NA," MT HOOD NATIONAL FOREST","WASCO",0.128130567423662
"46",25,"108","108.1001","Rio Chama Wild and Scenic River","Rio Chama","Rio Chama","Wild",NA,NA,"","","BLM","No","No","No","No","No","No","No","New Mexico","","","",NA,"","",0.14684512035641
"47",26,"10","10.2004","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Wild",5.2,58.7,"One-quarter mile below Bullpen Bridge","Approximately one-quarter mile above Burrells Ford Bridge","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia & North Carolina & South Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN, GA; JACKSON NC; MACON, NC; OCONEE, SC",0.0762748314263569
"48",27,"10","10.2005","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Scenic",1,58.7,"Approximately one-quarter mile above Burrells Ford Bridge","Three quarters mile below Burrells Ford Bridge","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia & South Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN, GA; OCONEE, SC",0.0173156627111462
"49",28,"10","10.2006","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Wild",9,58.7,"Three quarters mile below Burrells Ford Bridge","Nicholson Fields","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia & South Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN, GA, OCONEE, SC",0.130270691758288
"50",29,"10","10.2007","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Recreational",5.1,58.7,"Nicholson Fields","Turnhole","USFS","No","No","Yes","Yes","Yes","Yes","No","Georgia & South Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","RABUN, GA, OCONEE, SC",0.0878578536073847
"51",62,"113","113.2008","Smith Wild and Scenic River","Smith","Bear Creek","Scenic",2.5,297.5,"Bear Creek - Headwaters in section 24, T18N, R2E","Confluence with Diamond Creek","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0444012926807849
"52",63,"113","113.2009","Smith Wild and Scenic River","Smith","High Plateau Creek","Scenic",2.5,297.5,"High Plateau Creek - Headwaters in section 26, T18N, R2E","Confluence with Diamond Creek","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0482517364037343
"53",64,"113","113.2010","Smith Wild and Scenic River","Smith","Still Creek","Scenic",2.8,297.5,"Still Creek - Headwaters in section 11, T18N, R1E","Confluence with North Fork Smith River","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0529686403584016
"54",65,"112","112.2005","Smith Wild and Scenic River","Smith","Knopki Creek","Recreational",4.8,297.5,"Knopki Creek - Headwaters about .4 miles west of Sanger Peak","Confluence with Middle Fork Smith River","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0965573117644168
"55",66,"112","112.2006","Smith Wild and Scenic River","Smith","Griffin Creek","Recreational",3.5,297.5,"Griffin Creek - Headwaters about .2 miles southwest of Hazel View Summit","Confluence with Middle Fork Smith River","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0643270735189259
"56",67,"112","112.2007","Smith Wild and Scenic River","Smith","Packsaddle Creek","Scenic",4.3,297.5,"Packsaddle Creek - Headwaters about .8 miles southwest of Broken Rib Mountain","Confluence with Middle Fork Smith River","USFS","No","No","Yes","No","Yes","Yes","No","California","","","Geologic, Recreation, Scenery",NA,"","",0.0822021810830277
"57",68,"112","112.2008","Smith Wild and Scenic River","Smith","Monkey Creek","Recreational",7.3,297.5,"Monkey Creek - Headwaters in NE 1/4 of section 12, T18N, R3E","Confluence with Middle Fork Smith River","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.124590578754738
"58",69,"112","112.2009","Smith Wild and Scenic River","Smith","Little Jones Creek","Recreational",3.5,297.5,"Little Jones Creek - Headwaters in section 34, T17N, R3E","Confluence with Middle Fork Smith River","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0625044642864636
"59",70,"112","112.2010","Smith Wild and Scenic River","Smith","Shelly Creek","Recreational",8.8,297.5,"Shelly Creek - Headwaters in section 1, T18N, R3E","Confluence with Patrick Creek","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.148166945973349
"60",51,"1","1.2004","Middle Fork Clearwater Wild and Scenic River","Middle Fork Clearwater","Selway River","Recreational",16,185,"Selway
Magruder Ranger Station","Paradise Guard Station
Mileage based on 131 (total rec miles) - 23 (segment 1) - 70 (segment 2) - 22 (segment 6) = 16","USFS","No","Yes","No","Yes","Yes","Yes","Yes","Idaho","Botany, Traditional Cultural Use, Water Quality","","Fish, Historic, Recreation, Scenery, Wildlife, Botany, Traditional Cultural Use, Water Quality",NA," BITTERROOT NATIONAL FOREST, CLEARWATER NATIONAL FOREST, NEZ PERCE NATIONAL FOREST","IDAHO",0.252329192684141
"61",52,"1","1.2005","Middle Fork Clearwater Wild and Scenic River","Middle Fork Clearwater","Selway River","Wild",47,185,"Selway
Paradise Guard Station","Race Creek
Milege based on Bitteroot NF Forest Plan 19XX Appendix K-4 Selway Whitewater Plan pg 1","USFS","No","Yes","No","Yes","Yes","Yes","Yes","Idaho","Botany, Traditional Cultural Use, Water Quality","","Fish, Historic, Recreation, Scenery, Wildlife, Botany, Traditional Cultural Use, Water Quality",NA," BITTERROOT NATIONAL FOREST, CLEARWATER NATIONAL FOREST, NEZ PERCE NATIONAL FOREST","IDAHO",0.840036089302069
"62",53,"1","1.2006","Middle Fork Clearwater Wild and Scenic River","Middle Fork Clearwater","Selway River","Recreational",22,185,"Selway
Race Creek ","Confluence with Lochas WSR at Lowell ID
Mileage based on Nez Perce NF Forest Plan 1987 Page III-19","USFS","No","Yes","No","Yes","Yes","Yes","Yes","Idaho","Botany, Traditional Cultural Use, Water Quality","","Fish, Historic, Recreation, Scenery, Wildlife, Botany, Traditional Cultural Use, Water Quality",NA," BITTERROOT NATIONAL FOREST, CLEARWATER NATIONAL FOREST, NEZ PERCE NATIONAL FOREST","IDAHO",0.392509925556535
"63",54,"10","10.2001","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Recreational",5.5,58.7,"0.8 mile below Cashiers Lake","0.2 mile above Norton Mill Creek","USFS","No","No","Yes","Yes","Yes","Yes","No","North Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","JACKSON",0.0885884336253988
"64",55,"10","10.2002","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Wild",2,58.7,"0.2 mile above Norton Mill Creek","One-quarter mile above Bullpen Bridge","USFS","Yes","No","Yes","Yes","Yes","Yes","No","North Carolina","","","Cultural, Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","JACKSON, MACON",0.0296614926289775
"65",56,"10","10.2003","Chattooga Wild and Scenic River","Chattooga","Chattooga River","Scenic",0.5,58.7,"One-quarter mile above Bullpen Bridge","One-quarter mile below Bullpen Bridge","USFS","No","No","Yes","Yes","Yes","Yes","No","North Carolina","","","Geologic, Historic, Recreation, Scenery",NA,"CHATTAHOOCHEE-OCONEE NATIONAL FOREST, NANTAHALA NATIONAL FOREST, SUMTER NATIONAL FOREST","JACKSON, MACON",0.00858213210234163
"66",57,"113","113.2003","Smith Wild and Scenic River","Smith","North Fork Smith River","Wild",10.8,297.5,"North Fork Smith - Southern-most intersection with eastern section line of section 5, T18N, R2E","Confluence with Stony Creek","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.189550282894362
"67",58,"113","113.2004","Smith Wild and Scenic River","Smith","North Fork Smith River","Recreational",1,297.5,"North Fork Smith - Confluence with Stony Creek","Confluence with Middle Fork Smith River","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0174716403034521
"68",59,"113","113.2005","Smith Wild and Scenic River","Smith","North Fork Diamond Creek","Recreational",1.5,297.5,"North Fork Diamond Creek - California-Oregon State line","Confluence with Diamond Creek","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.03631790701555
"69",60,"113","113.2006","Smith Wild and Scenic River","Smith","Diamond Creek","Recreational",5.5,297.5,"Diamond Creek - California-Oregon State line","Confluence with Bear Creek","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.119220747169076
"70",61,"113","113.2007","Smith Wild and Scenic River","Smith","Diamond Creek","Scenic",2,297.5,"Diamond Creek - Confluence with Bear Creek","Confluence with North Fork Smith River","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0419879793109955
"71",82,"112","112.2012","Smith Wild and Scenic River","Smith","East Fork Patrick Creek","Recreational",4,297.5,"East Fork Patrick Creek - Headwaters in section 10, T18N, R3E","West Fork Patrick Creek","USFS","No","Yes","Yes","No","Yes","Yes","No","California","","","Fish, Geologic, Recreation, Scenery",NA,"","",0.0779122291466424
